source_dataset,source_file,source_id,source_row_number,text,raw_label,normalized_raw_label,macro_label
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_3,4,USER انا كنصراوي لاالوم اخواني النصراويه بتشجيع اوراوا ضد الهلال لانه دايم يجعل نصرنا مسخره امام الجميع ويشخلنا ب NUM #السبت_كلنا_او,Saudi_Arabia,Saudi_Arabia,Saudi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_4,5,دوله اسرائيل قائمه علي ضعفنا يوم ما نتوحد ونقوي رح نتحرر بسهوله ورح ترجع ارضنا رح ترجع حيفا ويافا وعكا URL URL,Palestine,Palestine,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_8,9,سمر انا مابقي شيء واتخرج بس لين الحين احس اني مو متمكنه والترم الجاي تدريب وخايفه طبيعي احساسك حاولي تتغلبين علي هالشعور انك تكونين مطلعه وفاهمه اساسيات تخصصك اشياء يجب علي كل طالب محاسبه امه يعرفها واشياء بسيطه كلها تعلمناها في محاسبه NUM و URL,Saudi_Arabia,Saudi_Arabia,Saudi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_9,10,كل ما بشوف علي التلفزيون قمه عربيه مشتركه بفتكر القمه العربيه اللي كانت في فيلم شورت و فانله و كاب شكلهم مش طايقين بعض فعلا,Egypt,Egypt,Egyptian
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_12,13,عن كميه الاشياء اللي لازم اعملها هاد الاسبوع,Jordan,Jordan,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_13,14,USER يا شيخه كل خمس دقائق حفله اكل و كل رايحه و جاي حفله شكل اشي خرافي,Jordan,Jordan,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_14,15,USER مافهمتش اي بوست,Libya,Libya,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_15,16,USER زمان كان عندي منه شريط واني صغيره يالله عمري يجي NUM سنين كلما تجي اللقطه هادي نبدا ندمع gt,Libya,Libya,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_18,19,USER رحم الله الوالد كان في مرضه الذي مات فيه وسمع قريبه له تشتكي من عله بسيطه فتمثل بقول الشمري تشكي من اللكمه وانا الراس مق,Saudi_Arabia,Saudi_Arabia,Saudi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_19,20,USER لو تبي اتطور من نفسك وتكون افضل اول خطوه لازم اتديرها وخاصه في ليبيا هي انك تحتك بالمميزين وتخالطهم وتصادقهم وتحاول تحسن ال,Libya,Libya,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_22,23,USER USER USER USER انا برضه مش قادر افهم الدماغ العربيه والتحزب والطائفيه تكلمهم عن مشكله اخلاقيه يدخلك في عقائد وايمانيات لازم يظهر بدور الفاهم العارف المنصح,Egypt,Egypt,Egyptian
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_23,24,الناس الي بتقضي الصيف في شرم و الساحل و الشتاء في الاقصر و اسوان الناس دي مين وراها مين بيمولها,Egypt,Egypt,Egyptian
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_26,27,كمليا زوجه فنان الراب عزو ترفض تمثيل الجزائر في منافسه دوليه وهدا لتندد عن الفساد الدي يعيشه القطاع الفدراليه تقول انها تهدد الاستقرار و تخلق البلبله ان شاء الله عزو مايكلاشيهاش ويقلها راكي ديري في URL URL,Algeria,Algeria,Maghrebi
